,№,Ўсимлик номи,"УП ""Каракалпакйулкукалам""","УП ""Aндижанйулкукалам""","УП ""Бухарайулкукалам""","УП ""Джизакйулкукалам""","УП ""Кашкадарьяйулкукалам""","УП ""Навоийулкукалам""","УП ""Намангайулкукалам""","УП ""Самаркандйулкукалам""","УП ""Сырдарьяйулкукалам""","УП ""Сурхандарьяйулкукалам""","УП ""Ташкентйулкукалам""","УП ""Ферганайулкукалам""","УП ""Хорезмйулкукалам""",Жами
36,1,Япон беҳиси,537.0,550.0,171.0,0.0,259.0,100.0,364.0,570.0,0.0,342.0,0.0,403.0,11.0,3307
37,2,Ҳинд сирени ,0.0,20028.0,0.0,0.0,0.0,0.0,1200.0,3000.0,0.0,0.0,8500.0,500.0,335.0,33563
38,3,Сурия атиргули,0.0,0.0,446.0,10000.0,0.0,1500.0,4920.0,5800.0,0.0,8131.0,9100.0,0.0,449.0,40346
39,4,Атиргул,0.0,0.0,0.0,0.0,4200.0,0.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,5650
40,5,Наъматак,0.0,0.0,0.0,0.0,5400.0,1000.0,2100.0,0.0,0.0,0.0,0.0,0.0,1300.0,9800
41,6,Қора маржон,543.0,423.0,0.0,0.0,645.0,400.0,446.0,648.0,0.0,0.0,641.0,331.0,0.0,4077
42,7,Скумпия,387.0,381.0,245.0,0.0,36.0,50.0,856.0,390.0,390.0,273.0,502.0,358.0,0.0,3868
43,8,Қорсимон мевали бута,651.0,655.0,255.0,0.0,424.0,0.0,580.0,690.0,0.0,483.0,820.0,513.0,256.0,5327
44,9,Пираканта,440.0,414.0,466.0,0.0,50.0,400.0,220.0,380.0,460.0,322.0,1093.0,424.0,224.0,4893
45,10,Магония,68.0,353.0,186.0,0.0,72.0,30.0,98.0,210.0,0.0,147.0,886.0,0.0,0.0,2050
46,11,Шилви,364.0,370.0,180.0,0.0,385.0,0.0,344.0,390.0,0.0,273.0,1200.0,102.0,0.0,3608
47,12,Калина,723.0,682.0,0.0,0.0,621.0,0.0,344.0,650.0,0.0,511.0,2041.0,56.0,0.0,5628
48,13,Брескелет,466.0,838.0,0.0,0.0,2357.0,300.0,708.0,700.0,0.0,476.0,1391.0,505.0,0.0,7741
49,14,Барбарис,443.0,455.0,408.0,0.0,334.0,200.0,226.0,276.0,0.0,322.0,990.0,173.0,0.0,3827
50,15,Спирея,88.0,103.0,0.0,0.0,109.0,0.0,16.0,110.0,0.0,77.0,0.0,90.0,0.0,593
51,16,Вигела,244.0,474.0,0.0,0.0,462.0,0.0,76.0,160.0,0.0,357.0,0.0,81.0,0.0,1854
52,17,Цизальпиния,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,1700
53,18,Испан дроги,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,5200
54,19,Саксовул,0.0,0.0,20000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,24000
55,20,Шамшод,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,800
56,21,Юка,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,1000
57,22,Бручина,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2100
